000,0,^@
001,1,^A
002,2,^B
003,3,^C
004,4,^D
005,5,^E
006,6,^F
007,7,^G
010,8,^H
011,9,^I
012,10,^J
013,11,^K
014,12,^L
015,13,^M
016,14,^N
017,15,^O
020,16,^P
021,17,^Q
022,18,^R
023,19,^S
024,20,^T
025,21,^U
026,22,^V
027,23,^W
030,24,^X
031,25,^Y
032,26,^Z
033,27,^[
034,28,^\
035,29,^]
036,30,^^
037,31,^_
040,32,
041,33,!
042,34,""""
043,35,#
044,36,$
045,37,%
046,38,&
047,39,'
050,40,(
051,41,)
052,42,*
053,43,+
054,44,","
055,45,-
056,46,.
057,47,/
060,48,0
061,49,1
062,50,2
063,51,3
064,52,4
065,53,5
066,54,6
067,55,7
070,56,8
071,57,9
072,58,:
073,59,;
074,60,<
075,61,=
076,62,>
077,63,?
100,64,@
101,65,A
102,66,B
103,67,C
104,68,D
105,69,E
106,70,F
107,71,G
110,72,H
111,73,I
112,74,J
113,75,K
114,76,L
115,77,M
116,78,N
117,79,O
120,80,P
121,81,Q
122,82,R
123,83,S
124,84,T
125,85,U
126,86,V
127,87,W
130,88,X
131,89,Y
132,90,Z
133,91,[
134,92,\
135,93,]
136,94,^
137,95,_
140,96,`
141,97,a
142,98,b
143,99,c
144,100,d
145,101,e
146,102,f
147,103,g
150,104,h
151,105,i
152,106,j
153,107,k
154,108,l
155,109,m
156,110,n
157,111,o
160,112,p
161,113,q
162,114,r
163,115,s
164,116,t
165,117,u
166,118,v
167,119,w
170,120,x
171,121,y
172,122,z
173,123,{
174,124,|
175,125,}
176,126,~
177,127,DEL
180,128, 
181,129,\n